sentence1,sentence2,score
हाँगामा चरा बसेको छ।,भेडाहरू रूखमुनि उभिरहेका छन्।,0.0
रेस्टुरेन्टको टेबलमा बसेका मानिसहरूको समूह।,एक रेस्टुरेन्ट मा एक टेबल मा बसेर दुई मान्छे।,3.8
एक कालो र सेतो गाई आंशिक रूपमा बादलको नीलो आकाशको बिरूद्ध घाँसमा उभिएको छ।,आंशिक बादल नीलो आकाशको बिरूद्ध धातुको ढोका पछाडि दुई कालो र सेतो गाई।,2.4
सेतो घोडामा सवार केटा।,एरिनामा सेतो घोडामा सवार मानिस।,3.2
पोखरीबाट पिउने दुईवटा गाई।,दुईवटा गाई पोखरीबाट पानी पिइरहेका छन् ।,4.6
एउटा कलममा कतारी भेडाहरू छन्।,एउटा घेरामा तीनवटा सेतो भेडाहरू।,2.4
कालो कुकुर घाँसमा लडिरहेको छ।,एउटा कालो कुकुर घाँसमा बसेको छ।,5.0
"दुईजना युवाहरू स्लाइडिङ गिलासको ढोकाको छेउमा एउटा टेबलमा बसिरहेका छन्, एउटा व्यक्तिले अर्कोलाई औंल्याएको छ।",एउटा टेबलमा एकअर्कालाई बिन्दुमा राखेर दुईजना मानिसहरू एक अर्काको सामना गर्दै बस्छन्।,4.2
एक पुरुष र एउटी महिला हात समातेर समुद्र तटमा हिंड्दै।,दाह्री र खोपडी लगाएको मान्छे र एक केटा समुन्द्रको किनारमा हिंड्दै छन्।,2.2
दस भेडा क्यामेरा हेर्दै।,आफ्नो पछाडि एउटा बिरालो क्यामेरा हेर्दै।,1.2
कालो र सेतो कुकुर क्यामेरा हेर्दै।,एउटा सानो कालो र सेतो बाख्रा एउटा कलममा क्यामेरामा हेर्दै।,1.4
सेतो फजी कुर्सी संग कालो टेबल।,एक महिला आफ्नो बच्चा संग।,0.0
रातो डबल डेकर बस यात्रु बोकेर।,रातो डबल डेकर बस सडकमा चलिरहेको छ।,2.2
पानीमा पाल डुङ्गा चल्छ।,बादलको दिनमा पाल डुङ्गा चलिरहेको छ।,3.4
एक व्यक्तिको पन्जा हातमा निलो चरा बसेको छ।,एक व्यक्तिको पन्जा हातमा चरा बसेको छ।,4.2
खैरो र सेतो घोडामा सवार केटी।,खैरो घोडामा सवार केटी।,3.6
ट्र्याकमा प्रायः कालो रेल।,रेलको ट्र्याकको अगाडि एउटा कार पार्क गरिएको छ।,1.0
रातो र नीलो क्रेयोनको साथ रङ लगाउँदै एउटा जवान केटा।,राइडिङ गियरमा एउटी जवान गोरा केटी खैरो र सेतो घोडाको शीर्षमा बस्छिन्।,0.0
बैठक कोठामा मानिसहरूको समूह।,एक विशाल च्याउको छेउमा हिंड्दै चार व्यक्तिहरूको समूह।,0.8
पानीको छेउमा घाँसमा एउटा मालार्ड र सेतो हाँस।,गुलाबी पोशाकमा एउटा सानो बच्चा टेबलमा बसिरहेको छ।,0.0
बिरालो ढोका अगाडि दुई साइकलको बीचमा बसेको छ।,बारको अगाडि मैदानमा उभिएको घोडा भन्दा।,0.0
रातो झोला लिएर सडकमा उभिएकी केटी।,एउटा कालो कुकुर भेडालाई हेरिरहेको छ।,0.0
एक घोडा सवार सेतो घोडा सवार छ।,एक महिला सेतो घोडाको नेतृत्व गर्दै।,3.4
लामो रेल रेल ट्र्याकमा छ।,रेल ट्र्याकमा रेल।,4.2
एउटा कालो र पातलो कुकुरले कालो भेडालाई हेर्छ।,एउटा कालो कुकुरले कलममा खैरो भेडालाई हेर्दै।,3.0
भित्तामा धेरै कम्प्युटर र तस्बिरहरू भएको कोठा।,एउटा डेस्कमा तीन कम्प्युटर मोनिटर र अन्य उपकरणहरू सहितको गृह कार्यालय।,2.8
खेतमा रूखमुनि हिंडिरहेको गाईको कालो र सेतो फोटो।,कालो र सेतो कुकुर क्यामेरा हेर्दै।,1.0
टार्माकमा बसिरहेको चाँदीको AreoMexico जेट लाइनर।,एरोमेक्सिको सिल्वर प्लेन रनवेमा छ।,4.2
फोहोर साइकलमा एक मानिस धेरै माथि उफ्रदै।,मोटरसाइकलमा सवार एक जना मानिस आफ्नो पछाडि आकाशमा उफ्रदै।,3.4
दुई जना मानिस एउटा सानो सेतो पाल डुङ्गामा यात्रा गर्दै।,एउटा सानो पाल डुङ्गामा दम्पती यात्रा गर्दै।,4.2
सेतो हवाइजहाज सिमेन्टमा पार्क गरिएको छ।,नीलो मोटरसाइकल फुटपाथमा पार्क गरिएको छ।,0.8
खेतमा तीनवटा गाई चरिरहेका छन् ।,खेतमा धेरै भेडाहरू चरिरहेका छन्।,0.8
त्यो मानिस गडबडीको टेबलमा बसेर ल्यापटप प्रयोग गर्दैछ।,एउटा मानिस गडबडीको टेबलमा ल्यापटप कम्प्युटर हेर्दै बसिरहेको छ।,4.8
"मैनबत्ती, रक्सी, र एक चियापानी संग एक भोजन टेबल।","काठको टेबलमा मैनबत्ती, रक्सी र बैजनी प्लास्टिकको कचौरा राखिएको छ।",3.0
रातो क्यानोमा प्याडल गर्दै दुई व्यक्ति स्थिर पानीमा प्रतिबिम्बित छन्।,सफा तालमा रातो क्यानोमा दुई व्यक्ति।,3.2
एउटा सानो लुगा लगाएकी महिला कारको छेउमा उभिरहेकी छिन्।,एउटा सानो रातो गाडीको छेउमा उभिरहेकी महिला।,3.8
रातो डबल डेकर बस यात्रु बोकेर।,हुड अप भएको रातो डबल डेकर बस।,2.2
टेबुलमा मैनबत्ती समातेको बुद्धको मूर्ति बसिरहेको छ।,तालमा हुँदा एउटा सानो डुङ्गामा माछा मार्ने मान्छे।,0.0
डिनर टेबलमा बसेका तीन जना क्यामेरा हेरेर मुस्कुराउँदै।,दुई वृद्ध महिला एक पुरुषसँग डिनर टेबलमा बसिरहेका छन्।,2.0
ट्र्याकमा बहुरंगी रेल।,ट्र्याकमा प्रायः कालो रेल।,2.8
सडकमा गुडिरहेको सेतो र रातो बस।,रातो बस सडकमा छ।,2.2
रातो र नीलो विमान यसको अवतरण गियरहरू तल उड्दै।,ल्यान्डिङ गियर डाउन भएको WWII लडाकु विमान।,3.2
एउटा सानो डुङ्गा खाडलमा गइरहेको छ।,नदीमा चलिरहेको डुङ्गा।,3.0
रेस्टुरेन्टमा चारजना महिला र दुई पुरुष लामो टेबलमा बसिरहेका छन्।,मानिसहरूको एक समूह इटालियन रेस्टुरेन्टमा टेबलमा बस्छन्।,3.0
खेतमा रुखको छेउमा उभिरहेका दुईवटा बाख्रा।,सानो सेतो डुङ्गा तानेको ठूलो डुङ्गा।,0.0
"ठूलो झ्याल, सोफा र कुर्सी भएको बैठक कोठाको कालो र सेतो फोटो।",राम्रोसँग सुसज्जित कोठाको कालो र सेतो दृश्य जङ्गलको बाहिरी दृश्यको साथ।,3.0
नीलो हल्टर भएको खैरो घोडाको क्लोज अप।,नीलो हल्टर लगाएको घोडाको क्लोजअप।,3.6
एउटा ठूलो कालो चरा पानीमा बसिरहेको छ।,चराहरू पानीमा पौडी खेलिरहेका छन्।,2.6
क्रीम सोफामा बिरालोको क्लोज-अप।,सेतो सोफामा आराम गरिरहेको सियामीज बिरालो।,3.4
एक व्यक्ति साइकल हाम फाल्दै छ र एक चाल प्रदर्शन गर्दै छ।,बाहिरमा फोहोर बाइक चलाउँदै गरेको व्यक्ति।,2.25
एउटा पहेँलो स्कूल बस ग्रामीण क्षेत्रमा पार्क गरिएको छ।,एउटा पहेँलो स्कूल बस मैदानमा पार्क गरिएको थियो।,4.0
एउटा पग कुकुर हरियो डम्पस्टरको छेउमा पहेँलो कुर्सीमा बसिरहेको छ।,एउटा ठूलो फोहोर रिसेप्टेकलको छेउमा पहेंलो कुर्सीमा बसिरहेको बुलडग।,3.2
रातो मोटरसाइकलमा महिला बसिरहेकी छिन् ।,हरियो पहाडमा सेतो भेडाहरू उभिरहेका छन्।,0.0
लिलामीमा टेबुलमा उभिएको भेडा।,लिलामी घरमा ऊनी भेडाहरू।,4.2
कालो रेल इन्जिनको क्लोज-अप।,कालो टाउको भएको सेतो भेडाको क्लोज अप।,0.0
सुन्तला र सेतो बिरालो छालाको कुर्सीमा सुतिरहेको छ।,कालो छालाको कुर्सीमा कम्बलमा सुन्तला र सेतो बिरालो बिछ्याउँदै।,4.0
एउटा ट्रेन उसको ट्र्याकमा चल्छ।,रुखको दुई पङ्क्तिको बीचमा रेल ट्र्याकबाट तल आउँछ।,3.0
घाँसे मैदानमा उभिएको कालो र सेतो गाई।,खेतमा उभिएको कालो र सेतो सिङ्गको गाई।,3.8
शहरको सडकमा डबल डेकर रातो युनाइटेड बस।,शहरको सडकमा डबल डेकर बस चल्छ।,4.0
बत्तीको प्रकाश भएको होटेल कोठाको टेलिभिजन र डेस्क।,एउटा होटेलको कोठामा एउटा टेलिभिजन र एउटा ल्यापटप कम्प्युटर अन छ।,2.6
एउटा मान्छे सानो साइकल चलाउँदै।,एकजना मानिस मोटरसाइकलमा ह्वीलिङ गर्दै छन्।,2.8
नौसेना पोशाक लगाएकी एउटी महिला सेतो टेबलमा केक काटिरहेकी छिन्।,हेलमेट लगाएको व्यक्ति घमाइलो दिनमा साइकलमा बस्छ।,0.4
एउटा कालो रेल पटरी तल जान्छ।,ट्र्याकहरू तल यात्रा गर्दै रेल।,4.0
सेतो र बैजनी मोटरसाइकलको क्लोज-अप तस्वीर।,कम्प्युटर र त्यसमा कागजहरू भएको डेस्कको क्लोज-अप तस्वीर।,1.0
खैरो घोडा सवार एक जवान केटी।,खैरो घोडामा सवार महिला।,3.8
भान्साकोठामा दुईजना महिला वस्तु हेर्दै।,सुइट लगाएका तीन पुरुष टेबलमा बसिरहेका छन्।,0.0
दुई महिला बच्चासँग पोज दिँदै।,एउटी महिला बच्चाको साथ पोज गर्दै।,2.2
खानेकुरा भएको टेबलको वरिपरि बसेका मानिसहरूको समूह।,बैठक कोठा वरिपरि चार जना खाजा लिएर बसिरहेका छन्।,2.8
नीलो मोटरसाइकल फुटपाथमा पार्क गरिएको छ।,फुटपाथमा पार्किङ गरिएको निलो मोपेड।,4.0
शहरको सडकमा रातो डबल डेकर बस।,रातो डबल डेकर बस सडकमा चलिरहेको छ।,4.8
एक रेल स्टेशन भित्र दुई ट्रेनहरू।,ट्रेन रेल स्टेशनमा बस्छ।,2.4
सेतो घोडामा सवार मानिस।,सेतो घोडा भएको महिला।,2.2
नीलो सोफामा बस्दा क्यामेरामा मुस्कुराउँदै एक पुरुष र दुई महिला।,भान्साकोठामा उभिएर क्यामेरामा मुस्कुराउँदै पुरुष र महिला।,2.2
रूखहरू पछाडि बन्दरगाहमा ठूलो क्रूज जहाज।,एक क्रूज जहाज एक तट मा डक।,3.4
दुईवटा गाई सडकको चौराहे पार गर्दै।,दुईवटा गाईले पक्की गल्ली पार गर्छन्।,3.8
सडक छेउमा धेरै गाई चरिरहेका छन् ।,दुईवटा सडकको बीचमा घाँसको प्याचमा पाँचवटा गाई चरिरहेका छन्।,4.0
एउटा कालो गाई र एउटा खैरो गाई उखेलिएको रुखको अगाडि मैदानमा उभिएको छ।,एउटा कालो गाई र एउटा खैरो गाई मैदानमा रूखहरूको सानो कोप अगाडि उभिरहेका छन्।,4.2
रातो डबल डेकर बस सडक तल ड्राइभ गर्दै।,शहरको सडकमा डबल डेकर बस।,3.6
घाँसे मैदानमा कानमा ट्याग लगाएको ट्यान गाई।,घाँसे मैदानमा भेडा चराउने व्यक्ति।,1.2
बैजनी र सेतो मोटर साइकलको अगाडिको छेउको क्लोजअप।,रातो खेलकुद कारको पछाडिको क्लोज अप।,1.2
कपडा पसलमा किनमेल गर्दै दुई महिला।,कपडा पसलमा दुई महिला।,4.6
रेस्टुरेन्टको टेबलमा बसेका मानिसहरूको समूह।,रेस्टुरेन्टको टेबलमा बसेका मानिसहरूको समूह।,4.6
खैरो घोडाको टाउकोको क्लोज-अप।,पहेंलो स्कूल बसको क्लोज-अप।,0.0
रातो टोपी लगाएको व्यक्ति इट्टाको समर्थन बीमको छेउमा उभिएको।,खैरो घोडा घाँस र मासुमा उभिएको छ।,0.0
घाँसेको खेतमा खाडीको पाल आफ्नो आमाको छेउमा हिंडिरहेको छ।,ठूलो घोडाको छेउमा हिंडिरहेको जवान घोडाको क्लोज-अप।,2.6
खैरो गाईको छेउमा उभिएकी महिला।,चश्मा लगाएकी एउटी महिला खेतमा गाईको छेउमा उभिरहेकी छिन्।,3.8
एउटा कुकुर ट्रकको पछाडिबाट बाहिर निस्कन्छ।,एउटा कुकुर भ्यानको पछाडिबाट बाहिर हेरिरहेको छ।,3.6
नीलो शिफ्ट पोशाकमा महिला खानामा काट्दै।,नीलो पोशाकमा एउटी महिला केक काट्दै।,3.8
कालो र सेतो बिरालो क्यामेरामा हेर्दै छ।,"एक खैरो, कालो र सेतो बिरालो क्यामेरा हेर्दै।",3.6
दुई श्यामला केटीहरू रातो र पहेंलो मोटरसाइकलमा साइड कारको साथ बसिरहेका छन्।,रातो र पहेंलो मोटरसाइकलमा पोज दिँदै एक जोडी।,3.2
एउटा सानो सेतो बिरालो सिङ्कमा उभिएको छ।,खरानी र सेतो बिरालो बाथरूम सिंकमा बसिरहेको छ।,3.6
रातो ट्यान्डम साइकलको पछाडिको सिटमा एक व्यक्ति।,एकजना मानिस ट्यान्डम साइकलको पछाडि एक्लै छन्।,3.6
डेस्कमा कम्प्युटर।,डेस्कमा चलिरहेको कम्प्युटर।,4.0
एउटा सानो बच्चा क्यामेरामा मुस्कुराउँदै।,एउटा सानो बच्चा सेतो फूलको छेउमा सिमेन्टको पर्खालमा बसिरहेको छ।,1.6
पानीमा तैरिरहेको एउटा सानो चरा।,पानीमा तैरिरहेको हाँस।,2.4
जुलिया शब्द भएको सेतो बस पानी र ठूलो जहाजको नजिक छ।,पानी भएको सेतो बस र पृष्ठभूमिमा बार्ज।,3.8
पुरानो नीलो र सेतो रेल ट्र्याकहरूमा।,पहाडी क्षेत्रमा नीलो रेल।,2.6
एक समुद्र तट मा पहेंलो डुङ्गा।,किनारमा पहेंलो डुङ्गा।,4.0
नीलो लुगा लगाएको खाने टेबलमा कागजहरू राखिएको भान्साकोठा।,एउटा सानो भान्साकोठा र नीलो टेबल कपडाले अव्यवस्थित टेबल।,3.4
एक स्टेशन मा ट्रेन।,इनडोर स्टेशन भित्र रेलहरू।,3.8
एउटा खैरो बिरालो झ्यालको छेउमा बसेर क्यामेरा हेर्दै छ।,बिरालो झ्यालमा उभिएर क्यामेरा हेर्दै छ।,4.0
मानिस बसेर गितार बजाउँदै।,रातो र सेतो बस सडक तल चलिरहेको छ।,0.0
रातो डबल डेकर बस सडकमा चलिरहेको छ।,शहरको सडकमा डबल डेकर बस।,4.2
तीनवटा गाई घाँसे मैदानमा चरिरहेका छन्।,खेतमा तीनवटा गाई चरिरहेका छन् ।,4.6
खैरो रेल रेलको ट्र्याकमा बसिरहेको छ।,सेतो रेल पटरीमा बसिरहेको छ।,2.25
खेतमा उभिएको कालो र सेतो सिङ्गको गाई।,सोफामा बसेको बिरालोको कालो र सेतो फोटो।,0.4
नीलो पोशाक लगाएको एउटा सानो गोरो बच्चा आफ्नी आमाको छेउमा टेबुलमा बस्छ।,हेलमेट लगाएकी एउटी गोरा केटी आफ्नो पछाडि रातो साइकल लिएर बसेकी छिन्।,1.6
रेस्टुरेन्टको टेबलमा बसेका मानिसहरूको समूह।,पोर्चमा टेबुलको वरिपरि बसिरहेका मानिसहरूको समूह।,2.6
घाँसको साथ कलममा कालो र सेतो गाई।,कालो र सेतो बिरालो माटोमा छ।,0.4
"रातो, डबल डेकर बस।",रातो डबल डेकर बसको अगाडि र बायाँ छेउ।,3.2
घोडाको टाउकोको नजिकको दृश्य।,घोडाको टाउकोको साइड दृश्य।,3.2
समुद्रमा पुरानो शैलीको काठको नौकायन जहाज।,समुद्रमा काठको याट।,3.2
पहाडी क्षेत्रमा उभिएको भेडा।,पहाडमा उभिएको एउटा ठूलो भेडा।,4.4
रनवेमा सेतो विमान।,सेतो विमान रनवेमा छ।,4.8
एउटा ट्यानको कुकुरलाई पाल्दै।,एउटा ट्यानको कुकुरलाई समातेर पाल्ने।,4.4
काठको फर्नीचरको साथ सुरुचिपूर्ण भोजन कक्ष।,काठको फर्नीचरको साथ एक सुरुचिपूर्ण गुलाबी भोजन कक्ष।,3.8
सोफामा बसेका दुई जना पुरुषको बीचमा एउटी महिला।,कम्तिमा दुई जना पुरुष सोफामा बसिरहेका छन्।,2.0
फोहोर ट्र्याकमा दुई मोटरसाइकल।,दुई फोहोर बाइकरहरू फोहोर पहाडमा सवार।,3.6
कालो र सेतो बिरालो क्यामेरामा हेर्दै छ।,कालो र सेतो कुकुर क्यामेरा हेर्दै।,2.2
हरियो आँखा भएको खैरो बिरालोले क्यामेरालाई हेर्छ।,हरियो आँखा भएको खैरो बिरालो क्यामेरामा हेर्दै।,5.0
दुईवटा भेडा घाँसेको पहाडमा उभिएका छन्।,दुई फोहोर बाइकरहरू फोहोर पहाडमा सवार।,0.2
रक्सीको बोतल लिएर सेतो पहिरनमा पुरुष र सेतो भेस्ट लगाएको रातो टर्टलनेकमा एउटी महिला।,एक पुरुष र महिला रक्सीको बोतल लिएर मैदानमा पोज दिँदै।,3.0
आँगनको चिसोमा एक्लो गाई बस्छ।,खेतमा उभिएको कालो र सेतो गाई।,1.8
शहरको सडकमा डबल डेकर बस चल्छ।,रातो डबल डेकर बस सडकमा चलिरहेको छ।,3.6
ठूलो कालो र सेतो बिरालो झ्यालमा आराम गरिरहेको छ।,एउटा सानो सेतो बिरालो सिङ्कमा बसिरहेको छ।,1.8
केटा भेडा खुवाउँदै।,एउटा केटा भेडाको घाँस खुवाउँदै।,4.2
कालो डेस्कटपमा एउटी केटीले मकैको फ्लेक्सको खुला बाकस र दूधको एक डिब्बा समातिन्।,कालो जुत्ता लगाएकी एउटी केटी निलो मोटरसाइकलको छेउमा उभिरहेकी छिन्।,0.0
एउटा भाँडोमा सानो क्याक्टसको क्लोजअप।,सेतो कुकुर समातेको महिलाको नजिक।,0.8
हरियो पहाडमा सेतो भेडाहरू उभिरहेका छन्।,एउटा भेडा पहाडमा उभिएको छ।,4.0
पृष्ठभूमिमा घाँस भएको पानीको शरीरमा कालो र सेतो चरा।,ब्याकग्राउन्डमा फेरीस ह्विल भएको बस सडकमा छ।,0.0
चाँदीको साथ काठको साइकल।,खाने टेबलको वरिपरि बसिरहेका वृद्ध व्यक्तिहरूको समूह।,0.0
जीर्ण काठको बारको कालो र सेतो फोटो।,फोहोर सडकको छेउमा पुरानो काठको बारको कालो र सेतो फोटो।,4.5
हरियो घाँस मैदानमा उभिएका दुईवटा खैरो घोडाहरू।,एउटा खैरो घोडा अग्लो घाँसमा उभिएको छ।,2.6
बाइक हेलमेट लगाएका दुई पुरुष।,पसलबाहिर दुईजना मानिस साइकल लिएर उभिरहेका छन्।,1.6
एउटा मान्छे पसलमा भिडियो गेम खेल्दै।,मान्छे पसलमा खेल खेल्दै।,3.4
पोर्चमा टेबुलको वरिपरि बसिरहेका मानिसहरूको समूह।,टेबल वरिपरि खाना लिएर बसेका मानिसहरूको समूह।,3.6
पृष्ठभूमिमा साइकलको साथ बाइक हेलमेट लगाएकी एउटी केटी।,एउटी महिलाले पृष्ठभूमिमा कुर्सीहरू सहित एउटा सानो कुकुरलाई पट्टामा समातिन्।,0.0
धेरै स्टिकरहरू भएको स्टप साइनको पछाडि।,स्टप साइनको पछाडि स्टिकरले सजिएको छ।,5.0
एउटा पुस्तक पसल बाहिर साइकल पार्क गरिएको छ।,पुस्तक पसल बाहिर पार्क गरिएको हरियो बाइक।,4.0
एउटा खैरो डबल डेकर टुर बस सडकमा यसको पछाडि फेरीस ह्वील भएको।,फेरीस ह्वीलको अगाडि चलिरहेको डबल डेकर बस।,4.4
कालो र सेतो कुर्सी इट्टाको पर्खालको अगाडि बसेको छ र फूलदानमा बाँसको बोट भएको झ्याल।,बाक्लो सेतो ऊनले ढाकिएको कालो टाउको भएको भेडा अरू भेडाहरूसँग चरनमा उभिएको छ।,0.6
सेतो घोडामा कालो वर्दी लगाएको मान्छे।,सेतो घोडामा सवार एउटा मान्छे।,3.6
दुई महिला कालो कुकुरको साथ बैठक कोठामा उभिन्छन्।,बैठक कोठामा कालो कुकुर लिएर क्यामेरातिर हेर्दै दुई महिला।,4.0
रातो क्यानोमा प्याडल गर्दै दुई व्यक्ति स्थिर पानीमा प्रतिबिम्बित छन्।,पृष्ठभूमिमा रूखहरूसहित रातो क्यानोमा प्याडल गर्दै दुई व्यक्ति।,3.2
पुरानो शैलीको निलो कारको हेडलाइटको क्लोज-अप दृश्य।,नीलो कारमा हेडलाइटहरू बन्द गर्नुहोस्।,4.0
मोडेल भवन नजिकै चलिरहेका कारहरू।,सुशोभित भवनको शिशुलाई चलाउने सवारी साधनहरू।,2.4
एउटा नीलो र सुन्तला रंगको हवाइजहाज यसको ल्यान्डिङ गियर तल राखेर उडिरहेको छ।,रातो र नीलो विमान यसको अवतरण गियरहरू तल उड्दै।,2.6
कालो र सेतो बिरालो कम्बलमा सुतिरहेको छ।,कालो र सेतो बिरालो बैजनी कम्बलमा सुतिरहेको छ।,4.0
यसको पार्किङ स्थलको प्रवेशद्वारमा अस्थायी चिन्ह सहितको भवन।,बसको टेल लाइटको पछाडिको छवि भएको सडक।,0.2
खानेकुरा भएको टेबलको वरिपरि बसेका मानिसहरूको समूह।,पोर्चमा टेबुलको वरिपरि बसिरहेका मानिसहरूको समूह।,3.4
एउटा सानो बच्चा समातेर सोफामा बसेका पुरुष र महिला।,सोफामा बच्चा समातेर बसेकी महिला।,3.2
कालो र सेतो बिरालो कम्बलमा सुतिरहेको छ।,बैजनी कम्बलमा आफ्नो छेउमा सुतिरहेको कालो र सेतो बिरालो।,3.0
प्रेम सीटको कालो र सेतो फोटो।,साइकलको कालो र सेतो फोटो।,1.8
पृष्ठभूमिमा खाने टेबल भएको बैठक कोठा।,पृष्ठभूमिमा खाने कोठा भएको बैठक कोठाको दृश्य।,4.2
रातो र खैरो रेल सुरुङबाट गुज्रिरहेको छ।,रातो र खैरो रेल रूखहरू बीचको सुरुङबाट यात्रा गर्दछ।,4.25
हुड खुला भएको रातो डबल डेकर बस।,एक पुरानो रातो लन्डन डबल डेकर बस यसको हुड उठाइएको छ।,4.2
सेतो घोडामा सवार मानिस।,एक महिला सेतो घोडाको नेतृत्व गर्दै।,1.8
पृष्ठभूमिमा खाने कोठा भएको बैठक कोठाको दृश्य।,ठूला सोफासहितको बैठक कोठा र पृष्ठभूमिमा खाने टेबल।,3.8
एउटा सुन्तला बिरालाको बच्चा छालाको सोफामा सुतिरहेको थियो।,कालो सोफामा बसिरहेको युवा जोडी।,0.8
बाइक हेलमेट लगाएको व्यक्ति सेल फोनमा कुरा गर्दैछ।,हेलमेट लगाएका एक व्यक्ति सेतो संरचना नजिकै बाइक चलाउँछन्।,3.0
एउटा सबवे ट्रेन स्टेशनमा तान्दै।,एउटा सेतो रेल स्टेशनमा तान्दै।,3.6
पसलमा साइकल पार्क गरिएको छ।,पुस्तक पसल बाहिर पार्क गरिएको हरियो बाइक।,3.8
दुई पुरुष समुद्र तटमा उभिरहेका छन्।,टुर बसको अगाडि उभिरहेका दुई महिला।,0.0
घाँसे मैदानमा उभिएको लामो कपाल भएको कालो कुकुर।,घाँसे मैदानमा उभिएको निलो जय।,1.4
लुगा धुने कोठाको छेउमा कुर्सीसहितको सानो डेस्क।,ट्यानको पर्खाल र धुने र ड्रायर भएको कोठा।,0.2
रातो डबल डेकर बस सडकमा चलिरहेको छ।,रातो डबल डेकर बस सडकमा चलिरहेको छ।,4.6
हंसले पानीको शरीरमा आफ्ना पखेटा फडफडाउँदै।,कालो हंस पानीमा पखेटा फडफडाउँदै।,3.0
केटा कुकुरसँग सोफामा सुतिरहेको छ।,केटा कुकुरको साथ सोफामा सुतेको छ।,4.4
गलीचामा बिछ्याइएको बिरालोको कालो र सेतो छवि।,गलीचामा बिछ्याइएको बिरालोको कालो र सेतो तस्वीर।,5.0
एयरपोर्टमा जमिनमा ठूलो जेट।,राति एयरपोर्टमा ठूलो विमान पार्क गरिएको थियो।,3.6
दुई जना महिला क्याफेमा बसिरहेका छन्।,दुई जना पुरुष दलदलमा माछा समात्दै।,0.0
हार्प लागरका आठ बोतलहरू भुइँमा लाइनमा थिए।,काठको भुइँमा हार्प बियरका आठ बोतलहरू लाइनमा राखिएका थिए।,4.0
एउटा सानो बच्चा क्यामेरामा मुस्कुराउँदै।,एउटा बिरालो क्यामेरा हेर्दै।,1.4
खैरो घोडामा सवार महिला।,नीलो राइडिङ ब्राउन घोडामा लुगा लगाएको व्यक्ति।,2.6
चलचित्र देखाउँदै टेलिभिजन स्क्रिनको फोटो।,भित्तामा माउन्ट गरिएको फ्ल्याट-स्क्रिन टिभीले चलचित्र देखाउँदैछ।,3.2
फूलको भाँडोमा बसेको चरा।,चराहरू स्टुको पर्खालको छेउमा फूलको भाँडोमा बसेको।,4.2
सेतो बिरालो सिङ्क भित्र बसिरहेको छ।,खरानी र सेतो बिरालो बाथरूम सिंकमा बसिरहेको छ।,3.4
घोडाको माथि सवार गियरमा जवान महिला।,घोडामा सवार गियरमा जवान केटी।,4.4
दुई जना मानिस एउटा सानो डुङ्गा चलाउँदै छन्।,एउटा पालमा दुई महिला।,3.8
एउटा सानो हाँगामा एउटा सानो चरा।,एउटा सानो चरा हिउँको हाँगामा बसेको थियो।,3.0
चट्टानमा बसेका दुई जनावर।,दुईवटा चील लामो हाँगामा बसिरहेका छन्।,1.6
दुईवटा बिरालाहरू सोफाको पछाडि बसेर झ्याल बाहिर हेरिरहेका छन्।,दुई बिरालाहरू सोफेको पछाडि बसिरहेका छन् र समुद्रको फोटोमा झ्याल बाहिर हेरिरहेका छन्।,4.2
दुईजना युवतीहरू भेडाको कत्रन।,दुई जना महिला भेडा चराउँदै।,4.4
जवान सवार खैरो घोडामा सवारी लिन्छ।,खैरो घोडामा सवार एक जवान महिला।,3.8
रेस्टुरेन्टको टेबलमा छ जना मानिस बसेर क्यामेरामा हेरिरहेका छन्।,रेस्टुरेन्टको टेबलमा बसेका मानिसहरूको समूह।,3.0
नाकदेखि काठको सानो सेतो भेडा।,काठको बक्समा नाक भएको सेतो भेडा।,3.8
सेतो र खैरो घोडामा सवार एक जवान केटी।,एउटी केटी सेतो र खैरो घोडा सवार छ।,4.6
एउटा कालो कुकुर निर्माण स्थलमा सामग्रीको छेउमा उभिएको छ।,निर्माण भइरहेको कोठामा उभिएको कालो कुकुर।,3.2
एउटा चराले पानीमा पखेटा फडफडाउँदै छ।,कालो हंस पानीमा पखेटा फडफडाउँदै।,3.6
कालो र सेतो बिरालो कम्बलमा सुतिरहेको छ।,एउटा कालो र सेतो बिरालो बिरालोको ओछ्यानमा सुतिरहेको छ।,3.75
घोडाको माथि सवार गियरमा जवान महिला।,महिला खैरो घोडामा सवार छिन्।,3.8
उड्ने तयारीमा रहेको विमान।,टार्माकमा एउटा सानो टर्बोप्रप प्लेन लोड हुँदैछ।,3.4
पर्ससहितको सेतो छालाको सोफा र यसमा कम्बल फाल्नुहोस्।,एक कार्यक्रम संग एक टेलिभिजन।,0.0
काठको क्याबिनेट र फर्निचर सहितको भान्छा।,काठको टेबल र क्याबिनेटहरू सहितको भान्सा।,4.2
बिरालोले मकैको भुसीको झाडोलाई आक्रमण गरिरहेको छ।,खरानी र सेतो बिरालो बाथरूम सिंकमा बसिरहेको छ।,0.8
एक जोडीले बच्चा बोकेका छन्।,नवजात शिशु संग जोडी।,4.2
फिडरबाट खाने एउटा सानो चरा।,बर्ड फिडरबाट चरा खाने।,4.25
कालो टाउको भएको सेतो भेडाको क्लोज अप।,कालो टाउको भएको भेडाको क्लोज-अप।,4.0
